Date,HY_OAS,HY_WARF,HY_ M_ ER,HY_ Trl_ 12M_ ER,FA_OAS,FA_WARF,FA_M_ ER,FA_Trl_ 12M_ ER,ER_DIFF
6/30/1997,234.1911945,2511.954598,0.058435829,1.125060191,98.43438851,1351.702971,-0.090523771,1.02241314,-0.102647051
7/31/1997,238.945036,2545.137267,0.625331102,-7.875161704,108.4176826,1133.40809,0.343662129,-4.799652361,3.075509343
8/29/1997,238.4924431,2546.640588,0.57078973,-11.06299358,99.11014817,1102.027493,0.106530071,-5.212332641,5.850660935
9/30/1997,229.2480582,2566.289024,-1.3898877,-11.50577005,113.4760658,1097.996259,-1.105226986,-6.80002881,4.705741236
10/31/1997,234.5784302,2547.356658,0.64446713,-7.850148182,110.3447616,1119.201237,-0.049076333,-4.357494746,3.492653435
11/26/1997,263.375609,2503.627587,-0.13628485,-8.089183221,133.8650871,1110.444963,0.414922739,-4.813608484,3.275574737
12/31/1997,265.8063789,2554.540801,0.101383261,-7.205486771,128.4611607,1290.819238,-0.467673542,-3.35601435,3.849472421
1/30/1998,45.66608272,2697.001533,0.85451394,-6.215253527,107.2378245,1415.455178,0.549473621,-2.860399704,3.354853823
2/27/1998,264.6923085,2651.566843,0.660252006,-6.483976763,135.5675733,1415.455044,0.797259673,-3.263538988,3.220437775
3/31/1998,260.0761072,2638.640819,-0.041091062,-4.814730509,164.6244329,1225.877373,0.725576431,-3.019584302,1.795146207
4/30/1998,266.5585915,2607.91977,-0.478068788,-4.460834568,169.6750879,1089.394103,0.009124777,-2.85711175,1.603722818
5/29/1998,295.9205598,2727.928164,-0.504019168,-4.193682348,187.934931,1195.719809,-0.253179417,-2.868574564,1.325107784
6/30/1998,325.2860718,2817.303221,0.23543071,-3.829129237,207.5928355,1318.686282,-0.037791273,-1.867160392,1.961968845
7/31/1998,324.5907001,2863.398463,-8.330414452,3.68310319,202.0690881,1260.925262,-5.439285984,2.644817206,-1.038285983
8/31/1998,505.7076246,2755.543875,-2.909300709,4.989194322,298.8966401,1306.389388,-0.327417829,2.0579078,-2.931286522
9/30/1998,566.6401223,2749.739348,-1.880822118,6.273306863,311.5978234,1336.417034,-2.761717294,5.489832209,-0.783474654
10/30/1998,604.4017553,2726.915346,4.802005027,2.74898544,369.5812676,1362.88706,2.570383015,4.192373638,1.443388197
11/30/1998,521.0335203,2781.537266,-0.395329511,4.993785156,345.99678,1346.789139,-0.063950389,6.249222895,1.25543774
12/31/1998,529.5959382,2761.276706,1.063829686,3.788847268,345.550759,1355.010617,1.056470118,5.043335819,1.254488551
1/29/1999,518.3966453,2817.777201,1.930757449,1.138915664,329.4077673,1405.699703,1.065116591,3.414279753,2.275364089
2/26/1999,478.6605931,2822.130069,0.371828252,-3.28426996,315.7011784,1389.401637,0.378940729,-0.79130229,2.492967671
3/31/1999,470.0719309,2785.197795,1.743159684,-4.425864302,331.4569574,1529.056996,0.97959106,-0.642508995,3.783355308
4/30/1999,443.667936,2835.817509,-0.10804927,-5.750813555,324.3290639,1597.54084,0.176671365,-0.058124531,5.692689024
5/28/1999,457.6820492,2849.313248,-0.225802669,-5.398744346,324.1791519,1582.499897,-0.264949494,0.886683965,6.285428311
6/30/1999,464.9957683,2847.282576,0.616837062,-6.003442665,337.7496059,1745.296126,0.99280796,-0.47993801,5.523504654
7/30/1999,455.9036071,2833.814507,-1.169792659,-5.608824273,320.0497004,1744.02216,-1.09154852,0.621919549,6.230743821
8/31/1999,482.3456504,2838.096857,-1.686253776,-5.613438185,348.4260263,1727.764392,-0.89733239,2.908670878,8.522109062
9/30/1999,515.4210804,2797.560454,-0.680736075,-8.809126598,369.1059161,1765.794434,0.508136489,-1.540780156,7.268346442
10/29/1999,525.9319335,2758.002078,1.326476106,-15.42510276,367.0214041,1803.954261,1.308831832,-4.050700057,11.37440271
11/30/1999,500.0044917,2750.45883,1.780775051,-17.09585695,387.5645977,1770.092938,1.908875282,-10.03315186,7.062705086
12/31/1999,464.519659,2735.698032,-0.096006939,-11.82031766,359.5512051,1916.84667,-0.090481248,0.008671708,11.82898937
1/31/2000,476.9250954,2766.666947,-0.671733499,-14.11386881,371.7160186,1986.059542,-0.502243584,0.112851882,14.22672069
2/29/2000,497.2126721,2815.129981,-4.017809751,-12.55455735,460.252388,1910.872342,-3.703202198,3.530861067,16.08541841
3/31/2000,579.2277731,2791.934647,0.542223545,-13.4762612,542.8815329,1911.131914,1.131040343,3.597242611,17.07350381
4/28/2000,569.7532585,2794.878315,-1.492856619,-10.89943149,517.6232748,1890.741579,0.765873948,7.254275648,18.15370714
5/31/2000,606.1588362,2809.274295,0.146905299,-13.98753416,516.9850509,1894.549157,0.677903767,7.139842701,21.12737686
6/30/2000,600.6688683,2876.03612,-0.026313304,-14.7343064,512.194951,1975.296692,-0.375251583,8.036793204,22.7710996
7/31/2000,591.7926476,2744.188914,-0.754881532,-13.99486535,515.8505983,1980.694159,0.003537463,10.17156929,24.16643465
8/31/2000,607.5943941,2739.498995,-1.691059426,-19.98626974,513.6376717,2023.429969,1.354892154,3.047546864,23.0338166
9/29/2000,634.6274271,2680.408445,-4.043433209,-16.30220273,584.0735258,1880.531126,-3.8375229,7.92153858,24.22374131
10/31/2000,718.4952357,2666.628489,-6.024846737,-6.291903933,613.7588976,2352.014078,-1.273730305,14.63496384,20.92686777
11/30/2000,818.9745794,2620.90407,-0.229876591,-5.698283268,657.5179128,2226.441042,-4.44515685,22.26682643,27.9651097
12/29/2000,831.0024406,2634.547338,6.261304299,-10.8181066,826.4613604,2419.751791,11.06111271,11.47460629,22.29271289
1/31/2001,718.8519134,2657.19904,-3.255259018,-10.00602932,676.9989003,2490.533759,-0.398595636,10.9249228,20.93095212
2/28/2001,721.8575192,2655.006303,-2.275198608,-3.805435128,636.3565466,2681.026085,-0.415479062,16.17490675,19.98034187
3/30/2001,721.8575192,2655.006303,-0.517524706,-3.984787345,636.3565466,2681.026085,1.195883178,14.39047347,18.37526082
4/30/2001,684.9039407,2621.449478,1.440860037,-6.574386309,549.0098262,2668.813733,4.322958295,9.790345312,16.36473162
5/31/2001,665.5771953,2577.831828,-3.324048146,-9.343295014,570.6896589,2279.550415,0.570487357,3.826766453,13.17006147
6/29/2001,700.2470132,2513.147063,-0.894298812,-14.69170737,561.6056695,2098.138237,0.458784252,-6.938820278,7.752887088
7/31/2001,709.1157618,2493.90085,0.105791864,-14.3478703,535.4842329,1932.689507,1.97957872,-6.894188553,7.453681742
8/31/2001,715.5148501,2521.654824,-8.539587946,-9.966500231,507.3786231,1966.849732,-5.199017623,-6.779605499,3.186894732
9/28/2001,899.5536888,2538.110356,0.374688784,-10.56776209,649.9998841,1950.284024,0.710815523,-5.684551544,4.883210542
10/31/2001,869.2029431,2501.661111,5.214629029,-8.656741536,649.1942903,1913.90052,4.867689113,-2.718540345,5.938201192
11/30/2001,761.937371,2623.923625,0.402145716,-9.933777259,549.2759601,1939.34508,1.916440073,-4.4404295,5.493347759
12/31/2001,737.5481311,2723.445687,0.492171729,-6.982164433,544.9376467,2217.333646,1.257995929,0.728938126,7.711102559
1/31/2002,700.9033213,2687.943455,-2.374315552,-5.067811956,514.3794468,1980.0017,-0.889732128,0.932502752,6.000314708
2/28/2002,725.5003523,2656.871636,4.458050648,-6.33053411,534.5891202,1867.484671,4.297773136,0.244626557,6.575160668
3/28/2002,630.8870237,2626.806927,-0.703007145,-0.291815213,453.4833158,2016.185734,-0.358474008,7.425440543,7.717255756
4/30/2002,625.9984731,2672.760887,-1.295072518,-0.388860451,454.9724453,1978.746954,0.127687801,6.057850795,6.446711246
5/31/2002,629.7013318,2697.036676,-6.189288994,9.628716649,508.5581668,2031.807338,-4.892288359,15.40005675,5.771340101
6/28/2002,768.2665749,2686.352658,-6.741170883,20.31497344,816.0269751,3717.450339,-9.957583238,30.12505677,9.810083332
7/31/2002,886.4065751,2643.175788,0.509270602,20.617662,846.0897099,3738.224127,2.028487669,28.20607968,7.588417679
8/30/2002,911.8081675,2542.74618,-3.861106363,25.29244696,899.1705417,2068.55778,-5.082348363,35.66231227,10.36986531
9/30/2002,998.7214923,2596.500088,-0.295633615,29.88229954,999.0694286,2515.760075,1.893858969,38.38960175,8.507302204
10/31/2002,999.6488567,2638.986635,7.462893446,22.6693551,971.7328285,2616.381191,8.165544825,30.40893464,7.739579541
11/27/2002,853.7236378,2722.854579,-1.001538901,25.66115075,833.7202224,2820.547699,0.112511416,32.22981908,6.568668325
12/31/2002,857.3367706,2678.782578,3.785459422,22.54929004,834.0211795,2640.45006,6.735624211,25.35502889,2.805738851
1/31/2003,780.3603499,2734.679083,-0.365131295,21.27843685,704.125493,2518.115495,-0.689438697,24.16143595,2.882999101
2/28/2003,799.4510251,2809.734981,3.068622073,17.37999571,722.4266997,2752.274399,3.586961917,19.68427678,2.304281069
3/31/2003,724.7978312,2817.332364,5.69850931,13.53703671,651.9425675,2822.524191,6.779138132,13.88936642,0.352329702
4/30/2003,612.6793693,2867.326565,-1.391141293,13.63823067,533.9048347,2880.102442,-1.146997214,13.66209692,0.023866255
5/30/2003,660.3929699,2899.499243,3.244957362,11.21340693,559.9531021,2782.347198,3.485364247,11.04964996,-0.163756971
